elevation,slpd,etpjd,minda,mindd,preca,precd,relha,relhd,sfmmd,tavea,tdaya,tmaxd,tmina,tmind,vpama,vpamd,road_dist,trail_dist,merge_dist,VETH
4298.5,1.17,0.680709165,-14.0938172,-25.94542371,13.05376344,-5.125800051,17.15107527,-1.568842806,262.5157962,27.71039427,33.06505376,22.70330261,2.373655914,13.89516129,22.28790323,6.704320277,16,2735,16,1
4298.5,1.17,0.680709165,-14.0938172,-25.94542371,13.05376344,-5.125800051,17.15107527,-1.568842806,262.5157962,27.71039427,33.06505376,22.70330261,2.373655914,13.89516129,22.28790323,6.704320277,11,2762,11,1
5283,1.25,0.626446493,-6.812544803,-26.41448413,17.50170251,-7.261527138,17.98073477,-1.618394777,262.3892921,23.2718638,28.17482079,21.83220686,0.062724014,13.4405466,21.15224014,6.204633897,142,663,142,0
4298.5,1.17,0.680709165,-14.0938172,-25.94542371,13.05376344,-5.125800051,17.15107527,-1.568842806,262.5157962,27.71039427,33.06505376,22.70330261,2.373655914,13.89516129,22.28790323,6.704320277,3,2721,3,1
4298.5,1.17,0.680709165,-14.0938172,-25.94542371,13.05376344,-5.125800051,17.15107527,-1.568842806,262.5157962,27.71039427,33.06505376,22.70330261,2.373655914,13.89516129,22.28790323,6.704320277,24,2748,24,1
5273,2.34,0.626446493,-6.836827957,-26.41457373,17.47741936,-7.261616743,17.9672043,-1.604576293,262.2186572,23.32625448,28.2374552,21.84550051,0.095340502,13.44581413,21.16308244,6.215476191,31,660,31,0
5310,1.76,0.620890937,-6.626792115,-26.24246032,17.52078853,-7.256169995,18.00519713,-1.607373272,264.4831605,23.16030466,28.05510753,21.81346646,-0.01344086,13.42983231,21.11675627,6.193810804,8,572,8,0
5269,2.02,0.626446493,-6.8640681,-26.40073605,17.45017921,-7.247779058,17.97258065,-1.609952637,261.9854647,23.35340502,28.26182796,21.84827829,0.111648746,13.44301715,21.17392473,6.215565796,11,601,11,0
5310,1.03,0.626446493,-6.798924731,-26.41459293,17.51532258,-7.261635945,18.00510753,-1.618394777,263.2805236,23.19569893,28.09327957,21.81891321,0.016487455,13.43241167,21.13306452,6.193810804,29,504,29,0
4298.5,2.09,0.626446493,-6.874910394,-26.39795827,17.43933692,-7.24500128,17.97795699,-1.626728111,261.9145737,23.39435484,28.31084229,21.85899258,0.138888889,13.44828469,21.19560932,6.215277778,78,573,78,0
5292,0.85,0.626446493,-6.804390681,-26.41170635,17.50985663,-7.25874936,18.00241936,-1.615706605,261.9008705,23.20654122,28.10681004,21.82140297,0.021863799,13.43241167,21.13575269,6.196498976,20,508,20,0
5888,22.11,0.506810036,1.936738351,-23.75419227,19.58978495,-8.26781234,18.46496416,-1.630958781,285.2069637,20.42016129,25.08369176,21.30324501,-1.597311828,13.153149,20.3734767,5.887000768,261,2589,261,0
5259,2.34,0.626446493,-6.86953405,-26.3952701,17.44471326,-7.242313108,17.97795699,-1.621172555,261.8690156,23.40528674,28.32455197,21.85899258,0.152508961,13.44559652,21.1983871,6.218055556,100,543,100,0
5312,0.9,0.626536098,-7.134946237,-26.40892857,17.51263441,-7.255971582,18.01066308,-1.618394777,259.4720494,23.18207885,28.07150538,21.81882361,0.005645161,13.4296339,21.13306452,6.193810804,2,454,2,0
5860,17.36,0.536917563,0.694802867,-24.67623528,19.59784946,-8.273188684,18.46774194,-1.628181004,288.9446045,20.43664875,25.09731183,21.30880056,-1.591845878,13.15323861,20.37625448,5.889778546,319,2671,319,0
5619,12.55,0.588184844,-3.792204301,-25.96632744,18.85806452,-7.982725294,18.25,-1.633262929,257.6156746,21.76442652,26.53951613,21.55737327,-0.775537634,13.27905146,20.74919355,6.033352535,26,2230,26,0
5518,18.87,0.604672299,-5.511379928,-26.20568996,18.30286738,-7.719399642,18.12482079,-1.624494368,244.9212622,22.58351255,27.41577061,21.69869432,-0.28844086,13.35656042,20.98602151,6.128526626,288,1451,288,0
5233,2.12,0.623668715,-6.472491039,-26.53953533,17.75842294,-7.469911674,17.99982079,-1.618305172,265.1671403,23.34256272,28.24560932,21.84014337,0.155107527,13.43177803,21.19569893,6.215367384,183,739,183,0
5251,2.34,0.626446493,-6.86953405,-26.3952701,17.44471326,-7.242313108,17.97795699,-1.621172555,261.8690156,23.40528674,28.32455197,21.85899258,0.152508961,13.44559652,21.1983871,6.218055556,137,513,137,0
