FDA_ID,COUNTRY,Unique_ID,Boron,Barium,Calcium,Potassium,Magnesium,Manganese,Phosphorus,Rubidium,Zinc
2939,BEL,Bel2939,0.298,0.237,109.1,1802,102.3,0.453,122.2,2.98,0.323
2940,BEL,Bel2940,0.288,0.236,108.4,1797,102.3,0.455,121.9,2.99,0.328
2962,BEL,Bel2962,0.421,0.271,43.4,1634,85.1,0.16,124.9,7.26,0.277
2984,BEL,Bel2984,0.434,0.117,53.4,1504,84.5,0.265,135.5,2.35,0.397
4395,BEL,Bel4395,0.578,0.145,82.9,1486,94.5,0.33,148.6,1.98,0.356
4396,BEL,Bel4396,0.575,0.144,81.8,1464,93.8,0.327,147.6,1.96,0.365
4427,BEL,Bel4427,0.811,0.196,266.2,1761,113,0.36,194.5,5.28,0.477
4428,BEL,Bel4428,0.794,0.193,270.4,1731,113.2,0.353,192.9,5.23,0.439
159,LSP,LSP0159,0.181,0.092,31.2,1233,64.3,0.253,52.4,1.89,0.306
193,LSP,LSP0193,0.733,0.034,34.7,1640,69.4,0.132,103.4,1.37,0.244
228,LSP,LSP228,0.514,0.026,28.9,1753,61.9,0.119,104.1,1.44,0.232
261,LSP,LSP261,0.504,0.04,36.7,1759,73.2,0.133,124.3,2.99,0.194
339,LSP,LSP339,0.744,0.04,43.3,1814,76.8,0.149,125.3,1.45,0.291
340,LSP,LSP340,0.771,0.045,43.3,1793,77.2,0.151,125.4,1.45,0.305
367,LSP,LSP367,0.453,0.059,42,1819,81.5,0.172,121.1,3.11,0.279
368,LSP,LSP368,0.445,0.054,40.3,1779,81.1,0.168,120,3.11,0.265
476,LSP,LSP476,0.127,0.077,39,1570,98.1,0.136,80.4,1.18,0.276
1017,LSP,LSP1017,0.431,0.084,44,1564,86.1,0.2,95.6,1.11,0.268
1018,LSP,LSP1018,0.433,0.084,44.4,1585,87.3,0.202,96.6,1.1,0.273
1045,LSP,LSP1045,0.609,0.065,39.7,1553,81.9,0.126,89.7,2.14,0.247
1046,LSP,LSP1046,0.604,0.068,38.6,1518,80.9,0.125,88.9,2.12,0.231
1128,LSP,LSP1128,0.41,0.073,48.1,1713,119.4,0.176,119.5,1.82,0.479
1129,LSP,LSP1129,0.404,0.073,45.3,1693,119.4,0.172,117.7,1.85,0.464
1162,LSP,LSP1162,0.564,0.048,34.5,1128,76.6,0.114,95.6,0.83,0.174
1163,LSP,LSP1163,0.554,0.051,33.4,1130,76.6,0.112,94.8,0.8,0.17
2852,TME,TME2852,1.013,0.05,102.6,1555,75,0.135,132.1,0.22,0.27
2859,TME,TME2859,1.017,0.05,95,1559,74.3,0.13,132.5,0.26,0.261
2891,TME,TME2891,1.491,0.032,111.5,1462,70.5,0.157,115.1,0.59,0.225
2898,TME,TME2898,1.5,0.031,109.7,1456,70.5,0.156,114.3,0.6,0.22
4267,TME,TME4267,0.795,0.089,389.5,1305,74.6,0.217,126.9,0.26,0.411
4268,TME,TME4268,0.805,0.087,399.7,1327,76.2,0.217,127.4,0.23,0.393
2766,VME,VME2766,0.44,0.709,64.7,1549,93.6,0.162,157.5,2.74,0.355
2767,VME,VME2767,0.417,0.646,79.8,1420,84.7,0.148,144.3,2.48,1.045
2773,VME,VME2773,0.402,0.633,77,1387,82.2,0.15,143.7,2.48,1.05
4300,VME,VME4300,0.754,0.472,76.4,1507,91.6,0.542,170.6,4.12,0.324
4301,VME,VME4301,0.758,0.471,75.5,1484,90.7,0.544,171.9,4.08,0.337
