slpd,etpjd,minda,mindd,preca,precd,relha,relhd,sfmmd,tavea,tdaya,tmaxd,tmina,tmind,vpama,vpamd,road_dist,trail_dist,merge_dist,elevation,VETH
0.4,0.62922427,-6.912007168,-26.48150922,17.48557348,-7.245218894,18.00510753,-1.618394777,261.0617512,23.20116488,28.09874552,21.8187148,0.016487455,13.43241167,21.13306452,6.193810804,19,557,19,5308,0
0.4,0.62922427,-6.912007168,-26.48150922,17.48557348,-7.245218894,18.00510753,-1.618394777,261.0617512,23.20116488,28.09874552,21.8187148,0.016487455,13.43241167,21.13306452,6.193810804,10,566,10,5306,0
0.4,0.62922427,-6.912007168,-26.48150922,17.48557348,-7.245218894,18.00510753,-1.618394777,261.0617512,23.20116488,28.09874552,21.8187148,0.016487455,13.43241167,21.13306452,6.193810804,2,577,2,5305,0
0.4,0.62922427,-6.912007168,-26.48150922,17.48557348,-7.245218894,18.00510753,-1.618394777,261.0617512,23.20116488,28.09874552,21.8187148,0.016487455,13.43241167,21.13306452,6.193810804,14,528,14,5308,0
0.4,0.62922427,-6.912007168,-26.48150922,17.48557348,-7.245218894,18.00510753,-1.618394777,261.0617512,23.20116488,28.09874552,21.8187148,0.016487455,13.43241167,21.13306452,6.193810804,16,538,16,5307,0
0.4,0.62922427,-6.912007168,-26.48150922,17.48557348,-7.245218894,18.00510753,-1.618394777,261.0617512,23.20116488,28.09874552,21.8187148,0.016487455,13.43241167,21.13306452,6.193810804,17,549,17,5306,0
0.4,0.62922427,-6.912007168,-26.48150922,17.48557348,-7.245218894,18.00510753,-1.618394777,261.0617512,23.20116488,28.09874552,21.8187148,0.016487455,13.43241167,21.13306452,6.193810804,12,500,12,5309,0
0.4,0.62922427,-6.912007168,-26.48150922,17.48557348,-7.245218894,18.00510753,-1.618394777,261.0617512,23.20116488,28.09874552,21.8187148,0.016487455,13.43241167,21.13306452,6.193810804,18,510,18,5309,0
0.4,0.62922427,-6.912007168,-26.48150922,17.48557348,-7.245218894,18.00510753,-1.618394777,261.0617512,23.20116488,28.09874552,21.8187148,0.016487455,13.43241167,21.13306452,6.193810804,27,522,27,5307,0
4.21,0.62922427,-7.646236559,-26.28389017,17.08467742,-7.047599846,17.9155914,-1.604646697,260.2914875,23.65277778,28.5938172,21.90689964,0.26953405,13.48075397,21.25017921,6.247875064,132,411,132,5195,0
4.21,0.62922427,-7.646236559,-26.28389017,17.08467742,-7.047599846,17.9155914,-1.604646697,260.2914875,23.65277778,28.5938172,21.90689964,0.26953405,13.48075397,21.25017921,6.247875064,128,383,128,5200,0
1.74,0.626446493,-7.428853047,-26.17847542,17.05206093,-7.025518433,17.90994624,-1.607136457,262.61202,23.69094982,28.63485663,21.91503456,0.2859319,13.48621992,21.26111111,6.25343062,119,355,119,5202,0
1.75,0.634600614,-8.30188172,-26.11322965,16.42903226,-6.710272657,17.79041219,-1.606701229,264.5983103,24.26505376,29.27419355,22.02165259,0.574462366,13.54538531,21.40277778,6.316026626,14,1565,14,5070,0
1.75,0.634600614,-8.30188172,-26.11322965,16.42903226,-6.710272657,17.79041219,-1.606701229,264.5983103,24.26505376,29.27419355,22.02165259,0.574462366,13.54538531,21.40277778,6.316026626,15,1595,15,5069,0
1.77,0.634600614,-8.32078853,-26.1077637,16.41012545,-6.704806708,17.79301075,-1.600947261,264.5958013,24.28413979,29.29605735,22.02423195,0.585394265,13.54825269,21.40815412,6.313338454,12,1625,12,5070,0
4.21,0.62922427,-7.646236559,-26.28389017,17.08467742,-7.047599846,17.9155914,-1.604646697,260.2914875,23.65277778,28.5938172,21.90689964,0.26953405,13.48075397,21.25017921,6.247875064,149,422,149,5194,0
4.21,0.62922427,-7.646236559,-26.28389017,17.08467742,-7.047599846,17.9155914,-1.604646697,260.2914875,23.65277778,28.5938172,21.90689964,0.26953405,13.48075397,21.25017921,6.247875064,126,395,126,5197,0
1.74,0.626446493,-7.428853047,-26.17847542,17.05206093,-7.025518433,17.90994624,-1.607136457,262.61202,23.69094982,28.63485663,21.91503456,0.2859319,13.48621992,21.26111111,6.25343062,103,368,103,5201,0
1.75,0.634600614,-8.30188172,-26.11322965,16.42903226,-6.710272657,17.79041219,-1.606701229,264.5983103,24.26505376,29.27419355,22.02165259,0.574462366,13.54538531,21.40277778,6.316026626,15,1567,15,5068,0
1.75,0.634600614,-8.30188172,-26.11322965,16.42903226,-6.710272657,17.79041219,-1.606701229,264.5983103,24.26505376,29.27419355,22.02165259,0.574462366,13.54538531,21.40277778,6.316026626,11,1597,11,5067,0
1.77,0.634600614,-8.32078853,-26.1077637,16.41012545,-6.704806708,17.79301075,-1.600947261,264.5958013,24.28413979,29.29605735,22.02423195,0.585394265,13.54825269,21.40815412,6.313338454,11,1627,11,5068,0
4.21,0.62922427,-7.646236559,-26.28389017,17.08467742,-7.047599846,17.9155914,-1.604646697,260.2914875,23.65277778,28.5938172,21.90689964,0.26953405,13.48075397,21.25017921,6.247875064,135,435,135,5200,0
4.21,0.62922427,-7.646236559,-26.28389017,17.08467742,-7.047599846,17.9155914,-1.604646697,260.2914875,23.65277778,28.5938172,21.90689964,0.26953405,13.48075397,21.25017921,6.247875064,108,409,108,5196,0
1.74,0.626446493,-7.428853047,-26.17847542,17.05206093,-7.025518433,17.90994624,-1.607136457,262.61202,23.69094982,28.63485663,21.91503456,0.2859319,13.48621992,21.26111111,6.25343062,84,383,84,5200,0
1.75,0.634600614,-8.30188172,-26.11322965,16.42903226,-6.710272657,17.79041219,-1.606701229,264.5983103,24.26505376,29.27419355,22.02165259,0.574462366,13.54538531,21.40277778,6.316026626,2,1569,2,5066,0
1.75,0.634600614,-8.30188172,-26.11322965,16.42903226,-6.710272657,17.79041219,-1.606701229,264.5983103,24.26505376,29.27419355,22.02165259,0.574462366,13.54538531,21.40277778,6.316026626,12,1599,12,5065,0
1.77,0.634600614,-8.32078853,-26.1077637,16.41012545,-6.704806708,17.79301075,-1.600947261,264.5958013,24.28413979,29.29605735,22.02423195,0.585394265,13.54825269,21.40815412,6.313338454,31,1629,31,5065,0
4.98,0.672555044,-13.06818996,-26.0609127,13.82939068,-5.491289042,17.28718638,-1.5828085,258.5610279,27.00277778,32.27571685,22.55887737,2.025268817,13.81692908,22.10815412,6.620058884,369,1029,369,4463,0
3.5,0.669866872,-13.06621864,-25.93657194,13.74802867,-5.450281618,17.26541219,-1.574833589,260.3484895,27.09793907,32.37921147,22.57483999,2.08234767,13.82784178,22.13808244,6.633678956,386,1057,386,4458,0
3.5,0.669866872,-13.06621864,-25.93657194,13.74802867,-5.450281618,17.26541219,-1.574833589,260.3484895,27.09793907,32.37921147,22.57483999,2.08234767,13.82784178,22.13808244,6.633678956,404,1084,404,4455,0
7.25,0.631912442,-8.660215054,-25.81308244,15.98736559,-6.493458781,17.70331541,-1.606662826,265.4710382,24.72777778,29.775,22.11817076,0.824910394,13.59112903,21.51980287,6.364624936,310,1828,310,4985,0
7.25,0.631912442,-8.660215054,-25.81308244,15.98736559,-6.493458781,17.70331541,-1.606662826,265.4710382,24.72777778,29.775,22.11817076,0.824910394,13.59112903,21.51980287,6.364624936,280,1846,280,4974,0
3.76,0.639868152,-8.996236559,-26.06308244,15.98467742,-6.493458781,17.70340502,-1.592665131,264.0785074,24.70591398,29.76129032,22.10983743,0.808512545,13.59401562,21.51164875,6.370378904,250,1863,250,4968,0
4.98,0.672555044,-13.06818996,-26.0609127,13.82939068,-5.491289042,17.28718638,-1.5828085,258.5610279,27.00277778,32.27571685,22.55887737,2.025268817,13.81692908,22.10815412,6.620058884,394,1017,394,4466,0
3.5,0.669866872,-13.06621864,-25.93657194,13.74802867,-5.450281618,17.26541219,-1.574833589,260.3484895,27.09793907,32.37921147,22.57483999,2.08234767,13.82784178,22.13808244,6.633678956,410,1044,410,4460,0
3.5,0.669866872,-13.06621864,-25.93657194,13.74802867,-5.450281618,17.26541219,-1.574833589,260.3484895,27.09793907,32.37921147,22.57483999,2.08234767,13.82784178,22.13808244,6.633678956,428,1072,428,4459,0
7.25,0.631912442,-8.660215054,-25.81308244,15.98736559,-6.493458781,17.70331541,-1.606662826,265.4710382,24.72777778,29.775,22.11817076,0.824910394,13.59112903,21.51980287,6.364624936,306,1804,306,4973,0
7.25,0.631912442,-8.660215054,-25.81308244,15.98736559,-6.493458781,17.70331541,-1.606662826,265.4710382,24.72777778,29.775,22.11817076,0.824910394,13.59112903,21.51980287,6.364624936,276,1821,276,4969,0
3.76,0.639868152,-8.996236559,-26.06308244,15.98467742,-6.493458781,17.70340502,-1.592665131,264.0785074,24.70591398,29.76129032,22.10983743,0.808512545,13.59401562,21.51164875,6.370378904,246,1839,246,4964,0
4.98,0.672555044,-13.06818996,-26.0609127,13.82939068,-5.491289042,17.28718638,-1.5828085,258.5610279,27.00277778,32.27571685,22.55887737,2.025268817,13.81692908,22.10815412,6.620058884,420,1005,420,4467,0
3.5,0.669866872,-13.06621864,-25.93657194,13.74802867,-5.450281618,17.26541219,-1.574833589,260.3484895,27.09793907,32.37921147,22.57483999,2.08234767,13.82784178,22.13808244,6.633678956,435,1033,435,4462,0
3.5,0.669866872,-13.06621864,-25.93657194,13.74802867,-5.450281618,17.26541219,-1.574833589,260.3484895,27.09793907,32.37921147,22.57483999,2.08234767,13.82784178,22.13808244,6.633678956,452,1060,452,4458,0
7.25,0.631912442,-8.660215054,-25.81308244,15.98736559,-6.493458781,17.70331541,-1.606662826,265.4710382,24.72777778,29.775,22.11817076,0.824910394,13.59112903,21.51980287,6.364624936,306,1779,306,4953,0
7.25,0.631912442,-8.660215054,-25.81308244,15.98736559,-6.493458781,17.70331541,-1.606662826,265.4710382,24.72777778,29.775,22.11817076,0.824910394,13.59112903,21.51980287,6.364624936,276,1797,276,4958,0
4.87,0.631822837,-8.577508961,-25.77754096,15.90340502,-6.457917307,17.69247312,-1.600908858,268.3955965,24.81209677,29.87016129,22.13404378,0.868458781,13.60195213,21.54435484,6.375736047,246,1815,246,4958,0
1.81,0.656266001,-11.06021505,-26.14870072,15.08736559,-6.079077061,17.52921147,-1.597676651,258.5344278,25.73172043,30.87697133,22.31050307,1.369175627,13.68770481,21.78673835,6.475998464,228,1014,228,4757,0
